unique_id,preds
compound_1,7.8408203
compound_2,7.839546
compound_20,8.039797
compound_4,8.230128
compound_40,7.6375046
compound_41,7.6697416
compound_26,7.8692007
compound_13,7.543574
compound_25,7.2878904
compound_22,7.8203826
compound_12,7.0628347
compound_44,7.5302644
compound_24,7.8353224
compound_45,7.370964
compound_46,7.6660147
compound_42,7.3360176
compound_17,7.220956
compound_23,7.873834
compound_18,7.271352
compound_21,7.5814843
compound_35,7.682103
compound_27,7.6440153
compound_30,7.4374747
compound_28,7.5952477
compound_37,7.75212
compound_29,7.199056
compound_14,8.135042
compound_47,7.9106865
compound_38,7.6622543
compound_31,7.436142
compound_43,7.311325
compound_48,7.685913
compound_49,7.744954
compound_50,7.8686056
compound_15,7.5029845
compound_16,7.800252
compound_36,7.624115
compound_34,7.5929613
compound_51,7.652036
compound_19,7.5374956
compound_11,7.1831713
compound_32,7.850113
compound_33,7.6099
