unique_id,preds
compound_1,7.0922117
compound_2,7.205327
compound_20,6.909884
compound_4,6.2692375
compound_40,7.113875
compound_41,7.536621
compound_26,7.2623086
compound_13,6.6090117
compound_25,7.0518684
compound_22,7.1682653
compound_12,6.6657143
compound_44,7.260807
compound_24,7.357955
compound_45,7.1390176
compound_46,7.4890375
compound_42,7.1926622
compound_17,6.8304915
compound_23,7.2188215
compound_18,7.086918
compound_21,6.9792395
compound_35,6.8135757
compound_27,6.414205
compound_30,6.4948835
compound_28,6.959507
compound_37,6.688121
compound_29,6.387047
compound_14,7.8185325
compound_47,7.603418
compound_38,6.5991225
compound_31,6.603415
compound_43,6.9856086
compound_48,7.408755
compound_49,7.305116
compound_50,7.7372866
compound_15,7.168129
compound_16,7.2849665
compound_36,6.3461814
compound_34,6.6648684
compound_51,7.439382
compound_19,7.3044357
compound_11,7.0921545
compound_32,7.025805
compound_33,6.851771
